,ee_pos_x,ee_pos_y,ee_pos_z,ee_quat_a,ee_quat_b,ee_quat_c,ee_quat_d,ee_wrench_desired_x,ee_wrench_desired_y,ee_wrench_desired_z,ee_wrench_desired_torque_x,ee_wrench_desired_torque_y,ee_wrench_desired_torque_z
0.5095057034220531,0.5490200519561768,0.04396870732307434,0.3191130757331848,0.928080141544342,-0.37103453278541565,0.002453494817018509,0.03153741732239723,6.2919392585754395,-2.887289047241211,-11.525972366333008,0.1349976509809494,0.33513256907463074,-0.7720376253128052
0.5096710200033063,0.5490108728408813,0.043910786509513855,0.3190819025039673,0.928024411201477,-0.3711715340614319,0.0024319172371178865,0.031567297875881195,6.310065269470215,-2.890789270401001,-11.520516395568848,0.13218790292739868,0.33641770482063293,-0.7688676714897156
0.5098363365845594,0.5490038394927979,0.04385491460561752,0.31905412673950195,0.9279685020446777,-0.37130898237228394,0.0024142111651599407,0.031594954431056976,6.292812824249268,-2.8505520820617676,-11.52333927154541,0.12657541036605835,0.3372781574726105,-0.7578319311141968
0.5100016531658125,0.548994243144989,0.04379802942276001,0.31902384757995605,0.9279129505157471,-0.37144529819488525,0.002394663169980049,0.03162615746259689,6.268060207366943,-2.8332455158233643,-11.498788833618164,0.12089613825082779,0.3347613215446472,-0.7467917203903198
0.5101669697470655,0.5489862561225891,0.04374200478196144,0.31899362802505493,0.9278568029403687,-0.37158307433128357,0.002376129850745201,0.031656842678785324,6.272500514984131,-2.813249349594116,-11.499661445617676,0.12405244261026382,0.3356362581253052,-0.7384384274482727
0.5103322863283187,0.5489791631698608,0.043684110045433044,0.318967342376709,0.9277998805046082,-0.37172308564186096,0.0023592456709593534,0.031682174652814865,6.257945537567139,-2.8129184246063232,-11.506229400634766,0.11760243773460388,0.3351767063140869,-0.73539137840271
0.5104976029095718,0.5489713549613953,0.04362604022026062,0.31893908977508545,0.9277421236038208,-0.3718649744987488,0.0023412073496729136,0.031710267066955566,6.21511697769165,-3.0352702140808105,-11.596327781677246,0.09581474959850311,0.3339988589286804,-0.7608333826065063
0.5106629194908249,0.5489616394042969,0.04357146844267845,0.3189067542552948,0.9276860952377319,-0.3720020055770874,0.002320157364010811,0.03174271062016487,6.191681861877441,-3.1563854217529297,-11.677759170532227,0.09077910333871841,0.33505457639694214,-0.7749213576316833
0.510828236072078,0.5489543676376343,0.043515611439943314,0.3188777565956116,0.927629292011261,-0.3721413314342499,0.0023025295231491327,0.031771279871463776,6.18022346496582,-3.2127060890197754,-11.75725269317627,0.0886891633272171,0.33879703283309937,-0.7884753346443176
0.5109935526533311,0.5489444732666016,0.04346203804016113,0.3188472390174866,0.9275718927383423,-0.37228187918663025,0.0022823424078524113,0.03180140256881714,6.156593322753906,-3.249041795730591,-11.762077331542969,0.08032245188951492,0.33648359775543213,-0.7942702174186707
